nome,sexo,data_nascimento,serie,nota_bim1,nota_bim2,nota_bim3,nota_bim4
Diego Silva,M,2005-08-03,6º Ano,9.5,1.8,5.7,4.1
Pedro Moreira,F,2008-01-02,9º Ano,3.7,6.4,7.8,3.9
Carlos Costa,M,2005-12-24,8º Ano,9.4,8.0,6.9,0.0
Rafael Costa,M,2013-08-16,1º EM,,7.0,9.8,2.8
Pedro Teixeira,M,2009-07-27,7º Ano,8.0,7.6,2.7,1.3
João Almeida,M,2007-12-28,7º Ano,4.3,,0.1,0.2
Aline Gomes,M,2006-03-18,1º EM,4.7,2.2,4.9,2.2
Fernanda Melo,F,2005-06-06,,3.9,6.7,4.7,4.4
Diego Araújo,F,2009-04-02,8º Ano,1.5,3.2,2.4,3.4
Rafael Souza,M,2011-01-06,1º EM,4.0,1.7,2.1,3.2
Patricia Ferreira,F,2011-04-23,9º Ano,5.7,5.3,4.7,7.4
Mariana Moreira,F,2008-09-22,9º Ano,4.3,1.6,1.3,9.0
Gustavo Araújo,M,2008-10-27,3º EM,5.4,7.4,0.3,3.2
Gustavo Moreira,F,2005-08-01,7º Ano,8.6,0.9,6.0,8.3
Rafael Almeida,M,2006-10-16,8º Ano,2.4,5.8,9.7,8.4
Maria Gomes,F,2006-07-08,6º Ano,6.7,1.9,0.1,5.3
Pedro Lima,M,2008-10-13,3º EM,1.5,1.3,1.7,9.9
Mariana Carvalho,F,2011-04-17,8º Ano,8.6,,2.2,8.2
,F,2008-09-29,6º Ano,7.6,4.3,3.1,4.7
Carlos Souza,M,2012-11-14,9º Ano,6.7,6.2,8.2,1.6
Juliana Costa,M,2007-10-02,6º Ano,1.4,6.7,3.9,0.4
Beatriz Souza,M,2006-11-02,3º EM,7.6,,3.5,6.9
Fernanda Pereira,F,2005-01-07,2º EM,7.0,6.1,0.2,6.2
João Silva,F,2009-11-22,2º EM,1.4,8.8,7.8,6.3
Gustavo Gomes,F,2013-09-04,9º Ano,7.9,,4.2,5.2
Larissa Araújo,M,2005-12-25,6º Ano,7.3,4.5,8.1,3.5
Patricia Barbosa,F,2011-09-14,3º EM,6.6,5.7,8.1,
